regid,regcode,reglab,Urban
564300999,EURUSKAL,"Russian Federation, Kaliningrad ",77
564301099,EURUSKOM,"Russian Federation, Komi Republic ",77.7
564301199,EURUSMUR,"Russian Federation, Murmansk ",92
564301299,EURUSVOL,"Russian Federation, Vologda Region ",72
564301399,EURUSORE,"Russian Federation, Orenburg ",100
570500099,EUSLN10,Slovenia ,55
572400199,EUSPATAR,"Spain, Tarragona ",67
572400299,EUSPAGRA,"Spain, Granada ",75
572400399,EUSPAMUR,"Spain, Murcia ",97
572400499,EUSPANAV,"Spain, Navarra ",50
572400599,EUSPAAST,"Spain, Asturias ",74
572400699,EUSPABAS,"Spain, Basque Country ",90
572401099,EUSPAGIR,"Spain, Girona ",
572401199,EUSPACAN,"Spain, Canary Islands ",
572401499,EUSPARIO,"Spain, La Rioja ",65
572401599,EUSPAVAL,"Spain, Castellón ",78
572401799,EUSPACAS,"Spain, Salamanca ",59
575200099,EUSWE10,Sweden ,86.5
575600199,EUSWIBAS,"Switzerland, Basel ",100
575600299,EUSWIGEN,"Switzerland, Geneva ",80
575600499,EUSWISGA,"Switzerland, East ",100
575600599,EUSWIVAU,"Switzerland, Vaud ",89.5
575600899,EUSWIVAL,"Switzerland, Valais ",
575601099,EUSWITIC,"Switzerland, Ticino ",100
575601199,EUSWIGGL,"Switzerland, Graubünden and Glarus ",
575601299,EUSWIFRI,"Switzerland, Fribourg ",
575601499,EUSWIAAR,"Switzerland, Aargau ",48
575601599,EUSWIBES,"Switzerland, Berne Solothurn ",42
575601699,EUSWILUC,"Switzerland, Lucerne ",
575601799,EUSWINEU,"Switzerland, Neuchâtel and Jura ",70
575601899,EUSWIZUR,"Switzerland, Zurich and Zug ",95
580400099,EUUKA10,Ukraine ,65
582600199,EUUKM12,"UK, England ",82
582602099,EUUKMSCO,"UK, Scotland ",82
582603099,EUUKMNIR,"UK, Northern Ireland ",65
582604099,EUUKMWAL,"UK, Wales ",70.7
603600299,OCAUSNEW,"Australia, NSW/ACT ",84
603600399,OCAUSQUE,"Australia, Queensland ",
603600499,OCAUSSOA,"Australia, South Australia ",
603600599,OCAUSTAS,"Australia, Tasmania ",70
603600699,OCAUSVIC,"Australia, Victoria ",88
603600799,OCAUSWES,"Australia, Western Australia ",78
603600862,OCAUSNOTing,"Australia, Northern Territory: Indigenous ",
603600863,OCAUSNOTinx,"Australia, Northern Territory: Non-Indigenous ",
603600899,OCAUSNOT,"Australia, Northern Territory ",70
625009399,OCFRNNEC,"France, New Caledonia ",65
655400028,OCNEZ10mao,New Zealand: Maori ,
655400029,OCNEZ10pac,New Zealand: Pacific peoples ,
655400098,OCNEZ10oth,New Zealand: Other ,
655400099,OCNEZ10,New Zealand ,85.9
684009999,OCUSAHAW,"USA, Hawaii ",92
